Название монеты,Тикер,Ссылка,Цена
Bitcoin,BTC,https://coinmarketcap.com/currencies/bitcoin/,39679.79
Ethereum,ETH,https://coinmarketcap.com/currencies/ethereum/,2957.19
Tether,USDT,https://coinmarketcap.com/currencies/tether/,1.00
BNB,BNB,https://coinmarketcap.com/currencies/bnb/,402.70
USD Coin,USDC,https://coinmarketcap.com/currencies/usd-coin/,1.00
XRP,XRP,https://coinmarketcap.com/currencies/xrp/,0.7024
Solana,SOL,https://coinmarketcap.com/currencies/solana/,100.81
Terra,LUNA,https://coinmarketcap.com/currencies/terra-luna/,91.11
Cardano,ADA,https://coinmarketcap.com/currencies/cardano/,0.8897
Avalanche,AVAX,https://coinmarketcap.com/currencies/avalanche/,72.36
TerraUSD,UST,https://coinmarketcap.com/currencies/terrausd/,1.00
Polkadot,DOT,https://coinmarketcap.com/currencies/polkadot-new/,18.36
Dogecoin,DOGE,https://coinmarketcap.com/currencies/dogecoin/,0.13
Binance USD,BUSD,https://coinmarketcap.com/currencies/binance-usd/,1.00
Shiba Inu,SHIB,https://coinmarketcap.com/currencies/shiba-inu/,0.00
Wrapped Bitcoin,WBTC,https://coinmarketcap.com/currencies/wrapped-bitcoin/,39676.40
Polygon,MATIC,https://coinmarketcap.com/currencies/polygon/,1.35
NEAR Protocol,NEAR,https://coinmarketcap.com/currencies/near-protocol/,15.19
Cronos,CRO,https://coinmarketcap.com/currencies/cronos/,0.40
Dai,DAI,https://coinmarketcap.com/currencies/multi-collateral-dai/,1.00
Litecoin,LTC,https://coinmarketcap.com/currencies/litecoin/,104.91
TRON,TRX,https://coinmarketcap.com/currencies/tron/,0.07
Cosmos,ATOM,https://coinmarketcap.com/currencies/cosmos/,22.61
Chainlink,LINK,https://coinmarketcap.com/currencies/chainlink/,13.43
Uniswap,UNI,https://coinmarketcap.com/currencies/uniswap/,8.85
Bitcoin Cash,BCH,https://coinmarketcap.com/currencies/bitcoin-cash/,311.21
FTX Token,FTT,https://coinmarketcap.com/currencies/ftx-token/,40.94
UNUS SED LEO,LEO,https://coinmarketcap.com/currencies/unus-sed-leo/,5.84
ApeCoin,APE,https://coinmarketcap.com/currencies/apecoin-ape/,17.16
Algorand,ALGO,https://coinmarketcap.com/currencies/algorand/,0.71
Stellar,XLM,https://coinmarketcap.com/currencies/stellar/,0.19
Monero,XMR,https://coinmarketcap.com/currencies/monero/,256.48
Ethereum Classic,ETC,https://coinmarketcap.com/currencies/ethereum-classic/,34.29
Filecoin,FIL,https://coinmarketcap.com/currencies/filecoin/,18.99
Decentraland,MANA,https://coinmarketcap.com/currencies/decentraland/,1.99
Internet Computer,ICP,https://coinmarketcap.com/currencies/internet-computer/,16.29
Hedera,HBAR,https://coinmarketcap.com/currencies/hedera/,0.19
VeChain,VET,https://coinmarketcap.com/currencies/vechain/,0.06
Elrond,EGLD,https://coinmarketcap.com/currencies/elrond-egld/,153.29
The Sandbox,SAND,https://coinmarketcap.com/currencies/the-sandbox/,2.71
Theta Network,THETA,https://coinmarketcap.com/currencies/theta-network/,3.03
Fantom,FTM,https://coinmarketcap.com/currencies/fantom/,1.08
Axie Infinity,AXS,https://coinmarketcap.com/currencies/axie-infinity/,45.01
PancakeSwap,CAKE,https://coinmarketcap.com/currencies/pancakeswap/,9.43
Tezos,XTZ,https://coinmarketcap.com/currencies/tezos/,3.00
THORChain,RUNE,https://coinmarketcap.com/currencies/thorchain/,7.97
Klaytn,KLAY,https://coinmarketcap.com/currencies/klaytn/,0.93
EOS,EOS,https://coinmarketcap.com/currencies/eos/,2.38
Zcash,ZEC,https://coinmarketcap.com/currencies/zcash/,162.26
Aave,AAVE,https://coinmarketcap.com/currencies/aave/,167.72
Helium,HNT,https://coinmarketcap.com/currencies/helium/,17.93
Flow,FLOW,https://coinmarketcap.com/currencies/flow/,5.50
STEPN,GMT,https://coinmarketcap.com/currencies/green-metaverse-token/,3.26
KuCoin Token,KCS,https://coinmarketcap.com/currencies/kucoin-token/,19.83
Waves,WAVES,https://coinmarketcap.com/currencies/waves/,17.72
IOTA,MIOTA,https://coinmarketcap.com/currencies/iota/,0.66
Maker,MKR,https://coinmarketcap.com/currencies/maker/,1766.98
BitTorrent-New,BTT,https://coinmarketcap.com/currencies/bittorrent-new/,0.00
eCash,XEC,https://coinmarketcap.com/currencies/ecash/,0.00
The Graph,GRT,https://coinmarketcap.com/currencies/the-graph/,0.35
Bitcoin SV,BSV,https://coinmarketcap.com/currencies/bitcoin-sv/,80.26
Convex Finance,CVX,https://coinmarketcap.com/currencies/convex-finance/,25.81
Stacks,STX,https://coinmarketcap.com/currencies/stacks/,1.13
Huobi Token,HT,https://coinmarketcap.com/currencies/huobi-token/,9.46
Neo,NEO,https://coinmarketcap.com/currencies/neo/,20.38
Harmony,ONE,https://coinmarketcap.com/currencies/harmony/,0.11
Zilliqa,ZIL,https://coinmarketcap.com/currencies/zilliqa/,0.11
TrueUSD,TUSD,https://coinmarketcap.com/currencies/trueusd/,1.00
Kusama,KSM,https://coinmarketcap.com/currencies/kusama/,159.94
Quant,QNT,https://coinmarketcap.com/currencies/quant/,109.50
Gala,GALA,https://coinmarketcap.com/currencies/gala/,0.19
Nexo,NEXO,https://coinmarketcap.com/currencies/nexo/,2.30
Chiliz,CHZ,https://coinmarketcap.com/currencies/chiliz/,0.21
Curve DAO Token,CRV,https://coinmarketcap.com/currencies/curve-dao-token/,2.73
Celo,CELO,https://coinmarketcap.com/currencies/celo/,2.90
OKB,OKB,https://coinmarketcap.com/currencies/okb/,20.71
Enjin Coin,ENJ,https://coinmarketcap.com/currencies/enjin-coin/,1.39
Loopring,LRC,https://coinmarketcap.com/currencies/loopring/,0.91
Basic Attention Token,BAT,https://coinmarketcap.com/currencies/basic-attention-token/,0.73
Dash,DASH,https://coinmarketcap.com/currencies/dash/,100.62
